final_kluster	annot	count.x	pattern	count.y	ratio
108s	nucleotide-sugar epimerase	4	seasonal	11	0.363636363636364
108s	2OG-Fe(II) oxygenase	0	seasonal	11	0
108s	amidoligase enzyme	0	seasonal	11	0
10ns	nucleotide-sugar epimerase	1	non_seasonal	16	0.0625
10ns	zphosphoheptose isomerase	0	non_seasonal	16	0
10ns	2OG-Fe(II) oxygenase	4	non_seasonal	16	0.25
10ns	amidoligase enzyme	0	non_seasonal	16	0
10ns	ferrochelatase	0	non_seasonal	16	0
10ns	primase	0	non_seasonal	16	0
10s	ferrochelatase	0	seasonal	9	0
10s	primase	0	seasonal	9	0
10s	2OG-Fe(II) oxygenase	0	seasonal	9	0
10s	zphosphoheptose isomerase	0	seasonal	9	0
10s	amidoligase enzyme	0	seasonal	9	0
10s	nucleotide-sugar epimerase	2	seasonal	9	0.222222222222222
11ns	2OG-Fe(II) oxygenase	6	non_seasonal	11	0.545454545454545
11ns	primase	0	non_seasonal	11	0
11ns	nucleotide-sugar epimerase	3	non_seasonal	11	0.272727272727273
11ns	ferrochelatase	1	non_seasonal	11	0.0909090909090909
11ns	amidoligase enzyme	0	non_seasonal	11	0
11ns	zphosphoheptose isomerase	0	non_seasonal	11	0
11s	ferrochelatase	0	seasonal	33	0
11s	amidoligase enzyme	2	seasonal	33	0.0606060606060606
11s	primase	0	seasonal	33	0
11s	zphosphoheptose isomerase	0	seasonal	33	0
11s	2OG-Fe(II) oxygenase	2	seasonal	33	0.0606060606060606
11s	nucleotide-sugar epimerase	0	seasonal	33	0
12ns	primase	0	non_seasonal	16	0
12ns	2OG-Fe(II) oxygenase	0	non_seasonal	16	0
12ns	ferrochelatase	0	non_seasonal	16	0
12ns	nucleotide-sugar epimerase	1	non_seasonal	16	0.0625
12ns	zphosphoheptose isomerase	0	non_seasonal	16	0
12ns	amidoligase enzyme	0	non_seasonal	16	0
12s	ferrochelatase	0	seasonal	65	0
12s	primase	4	seasonal	65	0.0615384615384615
12s	nucleotide-sugar epimerase	0	seasonal	65	0
12s	amidoligase enzyme	0	seasonal	65	0
12s	2OG-Fe(II) oxygenase	2	seasonal	65	0.0307692307692308
12s	zphosphoheptose isomerase	0	seasonal	65	0
13ns	primase	2	non_seasonal	22	0.0909090909090909
13ns	2OG-Fe(II) oxygenase	0	non_seasonal	22	0
13ns	zphosphoheptose isomerase	0	non_seasonal	22	0
13ns	ferrochelatase	0	non_seasonal	22	0
13ns	nucleotide-sugar epimerase	0	non_seasonal	22	0
13ns	amidoligase enzyme	0	non_seasonal	22	0
13s	ferrochelatase	0	seasonal	14	0
13s	2OG-Fe(II) oxygenase	0	seasonal	14	0
13s	nucleotide-sugar epimerase	0	seasonal	14	0
13s	primase	0	seasonal	14	0
13s	zphosphoheptose isomerase	0	seasonal	14	0
13s	amidoligase enzyme	1	seasonal	14	0.0714285714285714
14ns	nucleotide-sugar epimerase	1	non_seasonal	28	0.0357142857142857
14ns	ferrochelatase	0	non_seasonal	28	0
14ns	amidoligase enzyme	0	non_seasonal	28	0
14ns	2OG-Fe(II) oxygenase	0	non_seasonal	28	0
14ns	primase	1	non_seasonal	28	0.0357142857142857
14ns	zphosphoheptose isomerase	1	non_seasonal	28	0.0357142857142857
14s	ferrochelatase	0	seasonal	20	0
14s	nucleotide-sugar epimerase	0	seasonal	20	0
14s	amidoligase enzyme	0	seasonal	20	0
14s	primase	2	seasonal	20	0.1
14s	2OG-Fe(II) oxygenase	0	seasonal	20	0
14s	zphosphoheptose isomerase	0	seasonal	20	0
15ns	ferrochelatase	1	non_seasonal	11	0.0909090909090909
15ns	2OG-Fe(II) oxygenase	3	non_seasonal	11	0.272727272727273
15ns	primase	1	non_seasonal	11	0.0909090909090909
15ns	zphosphoheptose isomerase	0	non_seasonal	11	0
15ns	nucleotide-sugar epimerase	0	non_seasonal	11	0
15ns	amidoligase enzyme	0	non_seasonal	11	0
15s	2OG-Fe(II) oxygenase	0	seasonal	13	0
15s	zphosphoheptose isomerase	1	seasonal	13	0.0769230769230769
15s	primase	1	seasonal	13	0.0769230769230769
15s	ferrochelatase	0	seasonal	13	0
15s	amidoligase enzyme	0	seasonal	13	0
15s	nucleotide-sugar epimerase	1	seasonal	13	0.0769230769230769
16ns	nucleotide-sugar epimerase	2	non_seasonal	10	0.2
16ns	2OG-Fe(II) oxygenase	0	non_seasonal	10	0
16ns	ferrochelatase	0	non_seasonal	10	0
16ns	amidoligase enzyme	0	non_seasonal	10	0
16ns	zphosphoheptose isomerase	0	non_seasonal	10	0
16ns	primase	2	non_seasonal	10	0.2
16s	amidoligase enzyme	0	seasonal	15	0
16s	primase	1	seasonal	15	0.0666666666666667
16s	nucleotide-sugar epimerase	0	seasonal	15	0
16s	ferrochelatase	3	seasonal	15	0.2
16s	2OG-Fe(II) oxygenase	8	seasonal	15	0.533333333333333
16s	zphosphoheptose isomerase	0	seasonal	15	0
17ns	ferrochelatase	0	non_seasonal	5	0
17ns	nucleotide-sugar epimerase	0	non_seasonal	5	0
17ns	zphosphoheptose isomerase	0	non_seasonal	5	0
17ns	primase	0	non_seasonal	5	0
17ns	2OG-Fe(II) oxygenase	0	non_seasonal	5	0
17ns	amidoligase enzyme	0	non_seasonal	5	0
17s	primase	3	seasonal	16	0.1875
17s	ferrochelatase	0	seasonal	16	0
17s	nucleotide-sugar epimerase	0	seasonal	16	0
17s	2OG-Fe(II) oxygenase	1	seasonal	16	0.0625
17s	zphosphoheptose isomerase	0	seasonal	16	0
17s	amidoligase enzyme	1	seasonal	16	0.0625
18ns	primase	1	non_seasonal	32	0.03125
18ns	ferrochelatase	0	non_seasonal	32	0
18ns	2OG-Fe(II) oxygenase	0	non_seasonal	32	0
18ns	zphosphoheptose isomerase	0	non_seasonal	32	0
18ns	nucleotide-sugar epimerase	0	non_seasonal	32	0
18ns	amidoligase enzyme	0	non_seasonal	32	0
18s	ferrochelatase	0	seasonal	18	0
18s	nucleotide-sugar epimerase	3	seasonal	18	0.166666666666667
18s	primase	0	seasonal	18	0
18s	2OG-Fe(II) oxygenase	0	seasonal	18	0
18s	zphosphoheptose isomerase	0	seasonal	18	0
18s	amidoligase enzyme	4	seasonal	18	0.222222222222222
19ns	nucleotide-sugar epimerase	5	non_seasonal	17	0.294117647058824
19ns	ferrochelatase	0	non_seasonal	17	0
19ns	zphosphoheptose isomerase	0	non_seasonal	17	0
19ns	amidoligase enzyme	0	non_seasonal	17	0
19ns	primase	1	non_seasonal	17	0.0588235294117647
19ns	2OG-Fe(II) oxygenase	0	non_seasonal	17	0
19s	ferrochelatase	0	seasonal	11	0
19s	primase	0	seasonal	11	0
19s	amidoligase enzyme	0	seasonal	11	0
19s	2OG-Fe(II) oxygenase	0	seasonal	11	0
19s	zphosphoheptose isomerase	0	seasonal	11	0
19s	nucleotide-sugar epimerase	0	seasonal	11	0
1ns	zphosphoheptose isomerase	0	non_seasonal	12	0
1ns	2OG-Fe(II) oxygenase	0	non_seasonal	12	0
1ns	ferrochelatase	0	non_seasonal	12	0
1ns	primase	0	non_seasonal	12	0
1ns	amidoligase enzyme	0	non_seasonal	12	0
1ns	nucleotide-sugar epimerase	0	non_seasonal	12	0
1s	ferrochelatase	2	seasonal	48	0.0416666666666667
1s	2OG-Fe(II) oxygenase	13	seasonal	48	0.270833333333333
1s	amidoligase enzyme	1	seasonal	48	0.0208333333333333
1s	primase	7	seasonal	48	0.145833333333333
1s	zphosphoheptose isomerase	1	seasonal	48	0.0208333333333333
1s	nucleotide-sugar epimerase	6	seasonal	48	0.125
20ns	amidoligase enzyme	0	non_seasonal	17	0
20ns	primase	1	non_seasonal	17	0.0588235294117647
20ns	ferrochelatase	0	non_seasonal	17	0
20ns	zphosphoheptose isomerase	0	non_seasonal	17	0
20ns	nucleotide-sugar epimerase	0	non_seasonal	17	0
20ns	2OG-Fe(II) oxygenase	1	non_seasonal	17	0.0588235294117647
20s	nucleotide-sugar epimerase	0	seasonal	14	0
20s	ferrochelatase	0	seasonal	14	0
20s	primase	0	seasonal	14	0
20s	2OG-Fe(II) oxygenase	0	seasonal	14	0
20s	zphosphoheptose isomerase	0	seasonal	14	0
20s	amidoligase enzyme	0	seasonal	14	0
21ns	ferrochelatase	0	non_seasonal	15	0
21ns	zphosphoheptose isomerase	0	non_seasonal	15	0
21ns	nucleotide-sugar epimerase	0	non_seasonal	15	0
21ns	2OG-Fe(II) oxygenase	0	non_seasonal	15	0
21ns	primase	0	non_seasonal	15	0
21ns	amidoligase enzyme	0	non_seasonal	15	0
21s	primase	1	seasonal	28	0.0357142857142857
21s	nucleotide-sugar epimerase	3	seasonal	28	0.107142857142857
21s	2OG-Fe(II) oxygenase	3	seasonal	28	0.107142857142857
21s	amidoligase enzyme	0	seasonal	28	0
21s	ferrochelatase	0	seasonal	28	0
21s	zphosphoheptose isomerase	1	seasonal	28	0.0357142857142857
22ns	primase	1	non_seasonal	23	0.0434782608695652
22ns	ferrochelatase	0	non_seasonal	23	0
22ns	zphosphoheptose isomerase	0	non_seasonal	23	0
22ns	nucleotide-sugar epimerase	0	non_seasonal	23	0
22ns	2OG-Fe(II) oxygenase	0	non_seasonal	23	0
22ns	amidoligase enzyme	0	non_seasonal	23	0
22s	primase	3	seasonal	14	0.214285714285714
22s	nucleotide-sugar epimerase	0	seasonal	14	0
22s	2OG-Fe(II) oxygenase	1	seasonal	14	0.0714285714285714
22s	amidoligase enzyme	0	seasonal	14	0
22s	ferrochelatase	1	seasonal	14	0.0714285714285714
22s	zphosphoheptose isomerase	0	seasonal	14	0
23ns	nucleotide-sugar epimerase	0	non_seasonal	9	0
23ns	ferrochelatase	0	non_seasonal	9	0
23ns	zphosphoheptose isomerase	0	non_seasonal	9	0
23ns	primase	0	non_seasonal	9	0
23ns	amidoligase enzyme	0	non_seasonal	9	0
23ns	2OG-Fe(II) oxygenase	0	non_seasonal	9	0
23s	amidoligase enzyme	1	seasonal	27	0.037037037037037
23s	primase	4	seasonal	27	0.148148148148148
23s	ferrochelatase	0	seasonal	27	0
23s	zphosphoheptose isomerase	1	seasonal	27	0.037037037037037
23s	nucleotide-sugar epimerase	13	seasonal	27	0.481481481481481
23s	2OG-Fe(II) oxygenase	7	seasonal	27	0.259259259259259
24ns	nucleotide-sugar epimerase	1	non_seasonal	5	0.2
24ns	zphosphoheptose isomerase	0	non_seasonal	5	0
24ns	ferrochelatase	0	non_seasonal	5	0
24ns	primase	0	non_seasonal	5	0
24ns	amidoligase enzyme	0	non_seasonal	5	0
24ns	2OG-Fe(II) oxygenase	0	non_seasonal	5	0
24s	amidoligase enzyme	0	seasonal	21	0
24s	ferrochelatase	0	seasonal	21	0
24s	primase	0	seasonal	21	0
24s	zphosphoheptose isomerase	0	seasonal	21	0
24s	nucleotide-sugar epimerase	0	seasonal	21	0
24s	2OG-Fe(II) oxygenase	0	seasonal	21	0
25ns	nucleotide-sugar epimerase	0	non_seasonal	9	0
25ns	amidoligase enzyme	0	non_seasonal	9	0
25ns	primase	0	non_seasonal	9	0
25ns	zphosphoheptose isomerase	0	non_seasonal	9	0
25ns	ferrochelatase	0	non_seasonal	9	0
25ns	2OG-Fe(II) oxygenase	0	non_seasonal	9	0
25s	amidoligase enzyme	0	seasonal	22	0
25s	nucleotide-sugar epimerase	0	seasonal	22	0
25s	primase	1	seasonal	22	0.0454545454545455
25s	zphosphoheptose isomerase	0	seasonal	22	0
25s	ferrochelatase	1	seasonal	22	0.0454545454545455
25s	2OG-Fe(II) oxygenase	6	seasonal	22	0.272727272727273
26ns	zphosphoheptose isomerase	0	non_seasonal	13	0
26ns	2OG-Fe(II) oxygenase	0	non_seasonal	13	0
26ns	ferrochelatase	0	non_seasonal	13	0
26ns	nucleotide-sugar epimerase	0	non_seasonal	13	0
26ns	primase	0	non_seasonal	13	0
26ns	amidoligase enzyme	0	non_seasonal	13	0
26s	primase	3	seasonal	25	0.12
26s	nucleotide-sugar epimerase	1	seasonal	25	0.04
26s	ferrochelatase	1	seasonal	25	0.04
26s	2OG-Fe(II) oxygenase	6	seasonal	25	0.24
26s	zphosphoheptose isomerase	1	seasonal	25	0.04
26s	amidoligase enzyme	0	seasonal	25	0
27ns	zphosphoheptose isomerase	0	non_seasonal	2	0
27ns	2OG-Fe(II) oxygenase	0	non_seasonal	2	0
27ns	ferrochelatase	0	non_seasonal	2	0
27ns	nucleotide-sugar epimerase	0	non_seasonal	2	0
27ns	primase	0	non_seasonal	2	0
27ns	amidoligase enzyme	0	non_seasonal	2	0
27s	primase	4	seasonal	24	0.166666666666667
27s	ferrochelatase	0	seasonal	24	0
27s	2OG-Fe(II) oxygenase	2	seasonal	24	0.0833333333333333
27s	zphosphoheptose isomerase	1	seasonal	24	0.0416666666666667
27s	amidoligase enzyme	0	seasonal	24	0
27s	nucleotide-sugar epimerase	3	seasonal	24	0.125
28ns	zphosphoheptose isomerase	0	non_seasonal	20	0
28ns	amidoligase enzyme	0	non_seasonal	20	0
28ns	2OG-Fe(II) oxygenase	0	non_seasonal	20	0
28ns	ferrochelatase	0	non_seasonal	20	0
28ns	primase	0	non_seasonal	20	0
28ns	nucleotide-sugar epimerase	0	non_seasonal	20	0
28s	2OG-Fe(II) oxygenase	1	seasonal	15	0.0666666666666667
28s	ferrochelatase	0	seasonal	15	0
28s	primase	2	seasonal	15	0.133333333333333
28s	nucleotide-sugar epimerase	0	seasonal	15	0
28s	amidoligase enzyme	0	seasonal	15	0
28s	zphosphoheptose isomerase	0	seasonal	15	0
29ns	zphosphoheptose isomerase	1	non_seasonal	33	0.0303030303030303
29ns	primase	0	non_seasonal	33	0
29ns	nucleotide-sugar epimerase	1	non_seasonal	33	0.0303030303030303
29ns	amidoligase enzyme	0	non_seasonal	33	0
29ns	ferrochelatase	0	non_seasonal	33	0
29ns	2OG-Fe(II) oxygenase	1	non_seasonal	33	0.0303030303030303
29s	primase	1	seasonal	20	0.05
29s	2OG-Fe(II) oxygenase	3	seasonal	20	0.15
29s	nucleotide-sugar epimerase	4	seasonal	20	0.2
29s	ferrochelatase	1	seasonal	20	0.05
29s	zphosphoheptose isomerase	1	seasonal	20	0.05
29s	amidoligase enzyme	0	seasonal	20	0
2ns	zphosphoheptose isomerase	0	non_seasonal	5	0
2ns	primase	0	non_seasonal	5	0
2ns	nucleotide-sugar epimerase	0	non_seasonal	5	0
2ns	ferrochelatase	0	non_seasonal	5	0
2ns	amidoligase enzyme	0	non_seasonal	5	0
2ns	2OG-Fe(II) oxygenase	0	non_seasonal	5	0
2s	zphosphoheptose isomerase	0	seasonal	40	0
2s	2OG-Fe(II) oxygenase	0	seasonal	40	0
2s	ferrochelatase	0	seasonal	40	0
2s	amidoligase enzyme	0	seasonal	40	0
2s	primase	0	seasonal	40	0
2s	nucleotide-sugar epimerase	2	seasonal	40	0.05
30ns	zphosphoheptose isomerase	0	non_seasonal	35	0
30ns	2OG-Fe(II) oxygenase	0	non_seasonal	35	0
30ns	nucleotide-sugar epimerase	0	non_seasonal	35	0
30ns	ferrochelatase	0	non_seasonal	35	0
30ns	amidoligase enzyme	0	non_seasonal	35	0
30ns	primase	0	non_seasonal	35	0
30s	2OG-Fe(II) oxygenase	2	seasonal	20	0.1
30s	ferrochelatase	0	seasonal	20	0
30s	primase	0	seasonal	20	0
30s	amidoligase enzyme	0	seasonal	20	0
30s	nucleotide-sugar epimerase	1	seasonal	20	0.05
30s	zphosphoheptose isomerase	0	seasonal	20	0
31ns	zphosphoheptose isomerase	0	non_seasonal	12	0
31ns	2OG-Fe(II) oxygenase	1	non_seasonal	12	0.0833333333333333
31ns	amidoligase enzyme	0	non_seasonal	12	0
31ns	nucleotide-sugar epimerase	0	non_seasonal	12	0
31ns	ferrochelatase	0	non_seasonal	12	0
31ns	primase	0	non_seasonal	12	0
31s	2OG-Fe(II) oxygenase	1	seasonal	21	0.0476190476190476
31s	ferrochelatase	0	seasonal	21	0
31s	primase	1	seasonal	21	0.0476190476190476
31s	nucleotide-sugar epimerase	3	seasonal	21	0.142857142857143
31s	amidoligase enzyme	0	seasonal	21	0
31s	zphosphoheptose isomerase	1	seasonal	21	0.0476190476190476
32ns	amidoligase enzyme	0	non_seasonal	6	0
32ns	zphosphoheptose isomerase	0	non_seasonal	6	0
32ns	primase	0	non_seasonal	6	0
32ns	2OG-Fe(II) oxygenase	0	non_seasonal	6	0
32ns	nucleotide-sugar epimerase	0	non_seasonal	6	0
32ns	ferrochelatase	0	non_seasonal	6	0
32s	2OG-Fe(II) oxygenase	9	seasonal	21	0.428571428571429
32s	ferrochelatase	3	seasonal	21	0.142857142857143
32s	primase	5	seasonal	21	0.238095238095238
32s	amidoligase enzyme	1	seasonal	21	0.0476190476190476
32s	nucleotide-sugar epimerase	1	seasonal	21	0.0476190476190476
32s	zphosphoheptose isomerase	1	seasonal	21	0.0476190476190476
33ns	amidoligase enzyme	0	non_seasonal	15	0
33ns	zphosphoheptose isomerase	0	non_seasonal	15	0
33ns	primase	1	non_seasonal	15	0.0666666666666667
33ns	nucleotide-sugar epimerase	0	non_seasonal	15	0
33ns	2OG-Fe(II) oxygenase	0	non_seasonal	15	0
33ns	ferrochelatase	0	non_seasonal	15	0
33s	primase	1	seasonal	17	0.0588235294117647
33s	amidoligase enzyme	0	seasonal	17	0
33s	2OG-Fe(II) oxygenase	0	seasonal	17	0
33s	ferrochelatase	0	seasonal	17	0
33s	nucleotide-sugar epimerase	0	seasonal	17	0
33s	zphosphoheptose isomerase	0	seasonal	17	0
34ns	primase	0	non_seasonal	7	0
34ns	zphosphoheptose isomerase	0	non_seasonal	7	0
34ns	amidoligase enzyme	0	non_seasonal	7	0
34ns	2OG-Fe(II) oxygenase	0	non_seasonal	7	0
34ns	nucleotide-sugar epimerase	0	non_seasonal	7	0
34ns	ferrochelatase	0	non_seasonal	7	0
34s	amidoligase enzyme	0	seasonal	17	0
34s	ferrochelatase	0	seasonal	17	0
34s	2OG-Fe(II) oxygenase	0	seasonal	17	0
34s	primase	1	seasonal	17	0.0588235294117647
34s	nucleotide-sugar epimerase	0	seasonal	17	0
34s	zphosphoheptose isomerase	0	seasonal	17	0
35ns	amidoligase enzyme	0	non_seasonal	12	0
35ns	zphosphoheptose isomerase	0	non_seasonal	12	0
35ns	primase	0	non_seasonal	12	0
35ns	nucleotide-sugar epimerase	0	non_seasonal	12	0
35ns	ferrochelatase	0	non_seasonal	12	0
35ns	2OG-Fe(II) oxygenase	1	non_seasonal	12	0.0833333333333333
35s	nucleotide-sugar epimerase	0	seasonal	33	0
35s	amidoligase enzyme	4	seasonal	33	0.121212121212121
35s	2OG-Fe(II) oxygenase	2	seasonal	33	0.0606060606060606
35s	primase	1	seasonal	33	0.0303030303030303
35s	zphosphoheptose isomerase	0	seasonal	33	0
35s	ferrochelatase	0	seasonal	33	0
36ns	zphosphoheptose isomerase	0	non_seasonal	9	0
36ns	amidoligase enzyme	0	non_seasonal	9	0
36ns	primase	0	non_seasonal	9	0
36ns	2OG-Fe(II) oxygenase	0	non_seasonal	9	0
36ns	ferrochelatase	0	non_seasonal	9	0
36ns	nucleotide-sugar epimerase	0	non_seasonal	9	0
36s	nucleotide-sugar epimerase	0	seasonal	22	0
36s	amidoligase enzyme	0	seasonal	22	0
36s	ferrochelatase	1	seasonal	22	0.0454545454545455
36s	2OG-Fe(II) oxygenase	1	seasonal	22	0.0454545454545455
36s	primase	2	seasonal	22	0.0909090909090909
36s	zphosphoheptose isomerase	0	seasonal	22	0
37ns	zphosphoheptose isomerase	0	non_seasonal	11	0
37ns	amidoligase enzyme	0	non_seasonal	11	0
37ns	primase	0	non_seasonal	11	0
37ns	ferrochelatase	0	non_seasonal	11	0
37ns	2OG-Fe(II) oxygenase	1	non_seasonal	11	0.0909090909090909
37ns	nucleotide-sugar epimerase	0	non_seasonal	11	0
37s	nucleotide-sugar epimerase	4	seasonal	28	0.142857142857143
37s	zphosphoheptose isomerase	2	seasonal	28	0.0714285714285714
37s	amidoligase enzyme	0	seasonal	28	0
37s	2OG-Fe(II) oxygenase	6	seasonal	28	0.214285714285714
37s	primase	1	seasonal	28	0.0357142857142857
37s	ferrochelatase	1	seasonal	28	0.0357142857142857
38ns	zphosphoheptose isomerase	0	non_seasonal	20	0
38ns	amidoligase enzyme	0	non_seasonal	20	0
38ns	2OG-Fe(II) oxygenase	0	non_seasonal	20	0
38ns	ferrochelatase	0	non_seasonal	20	0
38ns	primase	0	non_seasonal	20	0
38ns	nucleotide-sugar epimerase	0	non_seasonal	20	0
38s	primase	4	seasonal	21	0.19047619047619
38s	2OG-Fe(II) oxygenase	9	seasonal	21	0.428571428571429
38s	nucleotide-sugar epimerase	2	seasonal	21	0.0952380952380952
38s	ferrochelatase	3	seasonal	21	0.142857142857143
38s	zphosphoheptose isomerase	0	seasonal	21	0
38s	amidoligase enzyme	0	seasonal	21	0
39ns	primase	0	non_seasonal	11	0
39ns	amidoligase enzyme	0	non_seasonal	11	0
39ns	ferrochelatase	0	non_seasonal	11	0
39ns	nucleotide-sugar epimerase	0	non_seasonal	11	0
39ns	2OG-Fe(II) oxygenase	2	non_seasonal	11	0.181818181818182
39ns	zphosphoheptose isomerase	0	non_seasonal	11	0
39s	2OG-Fe(II) oxygenase	2	seasonal	36	0.0555555555555556
39s	primase	3	seasonal	36	0.0833333333333333
39s	ferrochelatase	0	seasonal	36	0
39s	zphosphoheptose isomerase	0	seasonal	36	0
39s	nucleotide-sugar epimerase	3	seasonal	36	0.0833333333333333
39s	amidoligase enzyme	0	seasonal	36	0
3ns	primase	0	non_seasonal	4	0
3ns	nucleotide-sugar epimerase	0	non_seasonal	4	0
3ns	ferrochelatase	0	non_seasonal	4	0
3ns	zphosphoheptose isomerase	0	non_seasonal	4	0
3ns	2OG-Fe(II) oxygenase	0	non_seasonal	4	0
3ns	amidoligase enzyme	0	non_seasonal	4	0
3s	2OG-Fe(II) oxygenase	1	seasonal	30	0.0333333333333333
3s	zphosphoheptose isomerase	0	seasonal	30	0
3s	amidoligase enzyme	0	seasonal	30	0
3s	nucleotide-sugar epimerase	2	seasonal	30	0.0666666666666667
3s	ferrochelatase	0	seasonal	30	0
3s	primase	0	seasonal	30	0
40ns	zphosphoheptose isomerase	0	non_seasonal	12	0
40ns	nucleotide-sugar epimerase	0	non_seasonal	12	0
40ns	primase	0	non_seasonal	12	0
40ns	amidoligase enzyme	0	non_seasonal	12	0
40ns	ferrochelatase	0	non_seasonal	12	0
40ns	2OG-Fe(II) oxygenase	0	non_seasonal	12	0
40s	2OG-Fe(II) oxygenase	2	seasonal	6	0.333333333333333
40s	primase	0	seasonal	6	0
40s	zphosphoheptose isomerase	1	seasonal	6	0.166666666666667
40s	ferrochelatase	1	seasonal	6	0.166666666666667
40s	nucleotide-sugar epimerase	3	seasonal	6	0.5
40s	amidoligase enzyme	0	seasonal	6	0
41ns	ferrochelatase	0	non_seasonal	5	0
41ns	zphosphoheptose isomerase	0	non_seasonal	5	0
41ns	nucleotide-sugar epimerase	0	non_seasonal	5	0
41ns	primase	0	non_seasonal	5	0
41ns	amidoligase enzyme	0	non_seasonal	5	0
41ns	2OG-Fe(II) oxygenase	0	non_seasonal	5	0
41s	2OG-Fe(II) oxygenase	1	seasonal	9	0.111111111111111
41s	primase	0	seasonal	9	0
41s	zphosphoheptose isomerase	0	seasonal	9	0
41s	ferrochelatase	0	seasonal	9	0
41s	amidoligase enzyme	0	seasonal	9	0
41s	nucleotide-sugar epimerase	1	seasonal	9	0.111111111111111
42ns	zphosphoheptose isomerase	0	non_seasonal	8	0
42ns	amidoligase enzyme	0	non_seasonal	8	0
42ns	ferrochelatase	0	non_seasonal	8	0
42ns	2OG-Fe(II) oxygenase	0	non_seasonal	8	0
42ns	primase	0	non_seasonal	8	0
42ns	nucleotide-sugar epimerase	0	non_seasonal	8	0
42s	2OG-Fe(II) oxygenase	0	seasonal	14	0
42s	ferrochelatase	0	seasonal	14	0
42s	nucleotide-sugar epimerase	3	seasonal	14	0.214285714285714
42s	zphosphoheptose isomerase	0	seasonal	14	0
42s	primase	1	seasonal	14	0.0714285714285714
42s	amidoligase enzyme	0	seasonal	14	0
43ns	ferrochelatase	0	non_seasonal	2	0
43ns	zphosphoheptose isomerase	0	non_seasonal	2	0
43ns	nucleotide-sugar epimerase	0	non_seasonal	2	0
43ns	2OG-Fe(II) oxygenase	0	non_seasonal	2	0
43ns	primase	0	non_seasonal	2	0
43ns	amidoligase enzyme	0	non_seasonal	2	0
43s	2OG-Fe(II) oxygenase	6	seasonal	34	0.176470588235294
43s	ferrochelatase	2	seasonal	34	0.0588235294117647
43s	zphosphoheptose isomerase	0	seasonal	34	0
43s	nucleotide-sugar epimerase	0	seasonal	34	0
43s	primase	2	seasonal	34	0.0588235294117647
43s	amidoligase enzyme	1	seasonal	34	0.0294117647058824
44ns	zphosphoheptose isomerase	0	non_seasonal	7	0
44ns	nucleotide-sugar epimerase	0	non_seasonal	7	0
44ns	2OG-Fe(II) oxygenase	0	non_seasonal	7	0
